sampleID,siteName,siteID,dateCollected (dd/mm/yy),month,Waterway,timeCollected (hh:mm),highTide (hh:mm),TimeSinceHighTide (hh:mm),tide,collector,latitude..xx.xxxxxx.,longitude..x.xxxxxx.,PlusCode,waterSample,sedimentSample,daysSinceRain,notes,ColiformsNonEC,E.coli,TotalColiforms,entericEnterococci,ESBL,Total_Vancomycin_resistant,Vancomycin_resistant_E.faecilis,method,RIVPACS,MPN
AB18,Brightlingsea harbour,Br_1,11/10/2023,October,Colne,13:10,11:00,,,RobF,51.78945,1.01551,Q2Q8+Q6C,1,0,0,,18,84,102,19,NA,NA,NA,membrane filtration,,
AB19,Brightlingsea harbour,Br_1,11/10/2023,October,Colne,09:20,11:00,10:29,,RobF,51.78945,1.01551,Q2Q8+Q6C,1,0,0,,18,34,52,9,NA,NA,NA,membrane filtration,,
AA02,Wivenhoe tidal barrier,Co_1,25/07/2023,July,Colne,12:10,05:20,06:50,flood,RobF,51.8521142,0.9635436,VX27+RCV,1,0,0,,NC,820,NC,432,NA,NA,NA,membrane filtration,,
AA03,Wivenhoe tidal barrier,Co_1,25/07/2023,July,Colne,12:10,05:20,06:50,flood,RobF,51.8521142,0.9635436,VX27+RCV,1,0,0,,NC,1016,NC,688,NA,NA,NA,membrane filtration,,
AA04,Wivenhoe tidal barrier,Co_1,25/07/2023,July,Colne,12:10,05:20,06:50,flood,RobF,51.8521142,0.9635436,VX27+RCV,1,0,0,,NC,728,NC,540,NA,NA,NA,membrane filtration,,
AB13,Wivenhoe tidal barrier,Co_1,11/10/2023,October,Colne,10:41,11:00,12:00,,RobF,51.8521142,0.9635436,VX27+RCV,1,0,0,,28,52,80,31,NA,NA,NA,membrane filtration,,
AB14,Wivenhoe tidal barrier,Co_1,11/10/2023,October,Colne,14:16,11:00,,,RobF,51.8521142,0.9635436,VX27+RCV,1,0,0,,336,304,640,22,NA,NA,NA,membrane filtration,,
AB42,Colne Barrier,Co_1,08/12/2023,December,Colne,08:09,08:01,,,Nick,51.8521142,0.9635436,VX27+RCV,1,0,0,After heavy rain,NC,NC,NC,NC,NC,3280,3280,membrane filtration,,
AB94,Colne Barrier,Co_1,01/03/2024,March,Colne,15,16.44,,Neap,Nick,51.8521142,0.9635436,VX27+RCV,1,0,,,NC,480,NC,290,NA,NA,NA,membrane filtration,,
AC23,Wivenhoe tidal barrier,Co_1,27/04/2024,April,Colne,14.05,15:10,-1.05,Flood,Nick,51.8521142,0.9635436,VX27+RCV,,,0,Cloudy light winds,1410,0,1410,10,NA,NA,NA,membrane filtration,,
AA47,Rowhedge,Co_10,10/08/2023,August,Colne,20:15,19:59,00:16,slack,Megan,51.8572088,0.9492308,VW4X+VMQ,1,0,2,,240,0,240,0,NA,NA,NA,membrane filtration,,
AA48,Rowhedge,Co_10,10/08/2023,August,Colne,20:15,19:59,00:16,slack,Megan,51.8572088,0.9492308,VW4X+VMQ,1,0,2,,240,0,240,0,NA,NA,NA,membrane filtration,,
AA49,Rowhedge,Co_10,10/08/2023,August,Colne,20:15,19:59,00:16,slack,Megan,51.8572088,0.9492308,VW4X+VMQ,1,0,2,,480,40,520,0,NA,NA,NA,membrane filtration,,
AA82,Rowhedge,Co_10,10/09/2023,September,Colne,10:18,09:39,,,Megan,51.857418,0.9492042,VW4X+XM8,1,0,,,176,0,176,0,NA,NA,NA,membrane filtration,,
AA50,Colne Canoe Club,Co_11,15/08/2023,August,Colne,10:01,NA,NA,NA,Paul and Steve,51.89726,0.89268,VVWV+W33,1,0,1,"River clear, low flow. Heavily weeded and alginated.",864,96,960,96,NA,NA,NA,membrane filtration,,
AA51,Colne Canoe Club,Co_11,15/08/2023,August,Colne,10:01,NA,NA,NA,Paul and Steve,51.89726,0.89268,VVWV+W33,1,0,1,"River clear, low flow. Heavily weeded and alginated.",936,168,1104,96,NA,NA,NA,membrane filtration,,
AA52,Colne Canoe Club,Co_11,15/08/2023,August,Colne,10:01,NA,NA,NA,Paul and Steve,51.89726,0.89268,VVWV+W33,1,0,1,"River clear, low flow. Heavily weeded and alginated.",808,144,952,56,NA,NA,NA,membrane filtration,,
AA93,Colne Canoe Club,Co_11,22/09/2023,September,Colne,10:52,NA,NA,NA,Paul and Steve,51.89864,0.88275,VVXM+F35,1,0,0,Heavy rain. Slow flow.,1648,528,2176,1344,1232,48,48,membrane filtration,,
AB20,Colne Sheepen Bridge,Co_11,16/10/2023,October,Colne,10:22,NA,NA,NA,Paul and Steve,51.89864,0.88275,VVXM+F35,1,0,3,,1024,352,1376,224,NA,NA,NA,membrane filtration,,
AB45,Colne Sheepen Bridge,Co_11,08/12/2023,December,Colne,10:16,NA,NA,NA,Paul and Steve,51.89864,0.88275,VVXM+F35,1,0,1,River very low due to sluice problems at Middle Mill,NC,830,NC,820,1910,1940,1940,membrane filtration,,
AB62,Sheepen Bridge,Co_11,04/01/2024,January,Colne,10:39,NA,NA,NA,Paul and Steve,51.89864,0.88275,VVXM+F35,1,0,0,"Strong flow, high turbidity, bank flooded",NC,1060,NC,730,NA,NA,NA,membrane filtration,,
AB79,Sheepen Bridge,Co_11,01/02/2024,February,Colne,10:20,NA,NA,NA,Paul and Steve,51.89864,0.88275,VVXM+F35,1,0,2,Brisk flow. Water level low. Silt deposits. Slightly turbid.,NC,1230,NC,960,NA,NA,NA,membrane filtration,,
AB92,Sheepen Bridge,Co_11,01/03/2024,March,Colne,09:30,NA,NA,NA,Paul and Steve,51.89864,0.88275,VVXM+F35,1,0,,,NC,1380,NC,550,NA,NA,NA,membrane filtration,,
AC38,Sheepen Bridge,Co_11,04/04/2024,April,Colne,10:06,NA,NA,NA,Paul and Steve,51.89864,0.88275,VVXM+F35,1,0,,,NC,1160,NC,670,NA,NA,NA,membrane filtration,,
AC51,Sheepen Bridge,Co_11,01/05/2024,May,Colne,,NA,NA,NA,Paul and Steve,51.89864,0.88275,VVXM+F35,1,0,,,NC,170,NC,10,NA,NA,NA,membrane filtration,,
AC92,Sheepen Bridge,Co_11,06/06/2024,May,Colne,,NA,NA,NA,Paul and Steve,51.89864,0.88275,VVXM+F35,1,0,,,,,,,,,,,,
AD12,Sheepen Bridge,Co_11,05/07/2024,July,Colne,,NA,NA,NA,Paul and Steve,51.89864,0.88275,VVXM+F35,1,0,,,,,,,,,,,,
AA53,Colne Sheepen Bridge,Co_12,15/08/2023,August,Colne,10:21,NA,NA,NA,Paul and Steve,51.89688,0.88266,VVWM+Q33,1,0,1,"River clear, low flow.",NC,840,NC,288,NA,NA,NA,membrane filtration,,
AA54,Colne Sheepen Bridge,Co_12,15/08/2023,August,Colne,10:21,NA,NA,NA,Paul and Steve,51.89688,0.88266,VVWM+Q33,1,0,1,"River clear, low flow.",NC,920,NC,216,NA,NA,NA,membrane filtration,,
AA55,Colne Sheepen Bridge,Co_12,15/08/2023,August,Colne,10:21,NA,NA,NA,Paul and Steve,51.89688,0.88266,VVWM+Q33,1,0,1,"River clear, low flow.",NC,864,NC,184,NA,NA,NA,membrane filtration,,
AA94,Colne Sheepen Bridge,Co_12,22/09/2023,September,Colne,10:52,NA,NA,NA,Paul and Steve,51.8974,0.89263,VVWV+X36,1,0,0,Heavy rain. Slow flow.,NC,1424,NC,1408,NC,80,80,membrane filtration,,
AB21,Canoe Club,Co_12,16/10/2023,October,Colne,11:23,NA,NA,NA,Paul and Steve,51.8974,0.89263,VVWV+X36,1,0,3,,1664,768,2432,304,NA,NA,NA,membrane filtration,,
AB46,Canoe Club,Co_12,08/12/2023,December,Colne,09:57,NA,NA,NA,Paul and Steve,51.8974,0.89263,VVWV+X36,1,0,1,River very low due to sluice problems at Middle Mill,NC,520,NC,940,1640,2150,2150,membrane filtration,,
AB63,Canoe Club,Co_12,04/01/2024,January,Colne,11:02,NA,NA,NA,Paul and Steve,51.8974,0.89263,VVWV+X36,1,0,0,"Strong flow, high turbidity, bank flooded",NC,790,NC,1040,NA,NA,NA,membrane filtration,,
AB80,Canoe Club,Co_12,01/02/2024,February,Colne,10:59,NA,NA,NA,Paul and Steve,51.8974,0.89263,VVWV+X36,1,0,2,Low flow. Slightly turbid. Failure of sluice 1 km down stream (water level very low).,620,1190,1810,1160,NA,NA,NA,membrane filtration,,
AB93,Canoe Club,Co_12,01/03/2024,March,Colne,10:01,NA,NA,NA,Paul and Steve,51.8974,0.89263,VVWV+X36,1,0,,,NC,900,NC,1460,NA,NA,NA,membrane filtration,,
AC39,Canoe Club,Co_12,04/04/2024,April,Colne,10:23,NA,NA,NA,Paul and Steve,51.8974,0.89263,VVWV+X36,1,0,,,NC,940,NC,430,NA,NA,NA,membrane filtration,,
AC52,Canoe Club,Co_12,01/05/2024,May,Colne,,NA,NA,NA,Paul and Steve,51.8974,0.89263,VVWV+X36,1,0,,,NC,280,NC,20,NA,NA,NA,membrane filtration,,
AC93,Canoe Club,Co_12,06/06/2024,May,Colne,,NA,NA,NA,Paul and Steve,51.8974,0.89263,VVWV+X36,1,0,,,,,,,,,,,,
AD13,Canoe Club,Co_12,05/07/2024,July,Colne,,NA,NA,NA,Paul and Steve,51.8974,0.89263,VVWV+X36,1,0,,,,,,,,,,,,
AA56,Colne Castle Park (Middle Mill),Co_13,15/08/2023,August,Colne,10:40,NA,NA,NA,Paul and Steve,51.89356,0.90072,VWV2+C7H,1,0,1,"River clear, low flow. Sampled upstream of weir.",NC,520,NC,216,NA,NA,NA,membrane filtration,,
AA57,Colne Castle Park (Middle Mill),Co_13,15/08/2023,August,Colne,10:40,NA,NA,NA,Paul and Steve,51.89356,0.90072,VWV2+C7H,1,0,1,"River clear, low flow. Sampled upstream of weir.",NC,544,NC,264,NA,NA,NA,membrane filtration,,
AA58,Colne Castle Park (Middle Mill),Co_13,15/08/2023,August,Colne,10:40,NA,NA,NA,Paul and Steve,51.89356,0.90072,VWV2+C7H,1,0,1,"River clear, low flow. Sampled upstream of weir.",NC,568,NC,208,NA,NA,NA,membrane filtration,,
AA83,Riverside Walk,Co_14,12/09/2023,September,Colne,17:25,11.45,,,Mark G,51.893679,0.915053,VWV7+FX,1,1,1,,NC,288,NC,0,288,0,0,membrane filtration,,
AA98,East Hill (Riverside Walk),Co_14,28/09/2023,September,Colne,16:30,NA,NA,NA,Kemal,51.894671,0.913766,VWV7+VG6,1,0,2,,NC,592,NC,176,NA,NA,NA,membrane filtration,,
AA84,"Castle Park, Col",Co_15,12/09/2023,September,Colne,17:45,11.45,,,Mark G,51.894639,0.904607,VWV3+WX,1,1,1,,NC,0,NC,0,304,0,0,membrane filtration,,
AA85,Nr North Stn Rd,Co_16,12/09/2023,September,Colne,17:59,11.45,,,Mark G,51.893659,0.896287,VVVW+FH,1,1,1,,NC,48,NC,16,1152,0,0,membrane filtration,,
AB07,Friday Woods,Co_17,04/10/2023,October,Roman,10:30,NA,NA,NA,BenMott,51.84702,0.8866501,RVWP+RM2,1,0,,,1248,1072,2320,496,1088,80,80,membrane filtration,,
AB34,Friday Woods,Co_17,03/11/2023,November,Roman,10:15,NA,NA,NA,David,51.84702,0.8866501,RVWP+RM2,1,1,1,,740,280,1020,460,140,60,60,membrane filtration,,
AB47,Friday Woods,Co_17,08/12/2023,December,Roman,10:15,NA,NA,NA,David,51.84702,0.8866501,RVWP+RM2,1,0,1,,NC,1800,NC,1250,NC,2810,2810,membrane filtration,,
AB64,Friday Woods,Co_17,08/01/2024,January,Roman,10:00,NA,NA,NA,David,51.84702,0.8866501,RVWP+RM2,1,0,0,,NC,490,NC,420,NA,NA,NA,membrane filtration,,
AB91,Friday Woods,Co_17,19/02/2024,February,Roman,12:10,NA,NA,NA,David,51.84702,0.8866501,RVWP+RM2,1,0,,,NC,880,NC,810,NA,NA,NA,membrane filtration,,
AC11,Friday Woods,Co_17,19/03/2024,March,Roman,10:00,NA,NA,NA,David,51.84702,0.8866501,RVWP+RM2,1,0,,,NC,1050,NC,560,NA,NA,NA,membrane filtration,,
AC45,Friday Woods,Co_17,25/04/2024,April,Roman,11:00,NA,NA,NA,David,51.84702,0.8866501,RVWP+RM2,1,0,,,NC,100,NC,100,NA,NA,NA,membrane filtration,,
AD01,Friday Woods,Co_17,26/06/2024,June,Roman,,NA,NA,NA,David,51.84702,0.8866501,RVWP+RM2,1,0,,,,,,,,,,,,
AD14,Friday Woods,Co_17,11/07/2024,July,Roman,,NA,NA,NA,David,51.84702,0.8866501,RVWP+RM2,1,0,,,,,,,,,,,,
AA05,Alresford creek,Co_2,25/07/2023,July,Colne,11:45,05:20,06:25,flood,RobF,51.83785,0.98184,RXQJ+4PW,1,0,0,,NC,254,NC,304,NA,NA,NA,membrane filtration,,
AA06,Alresford creek,Co_2,25/07/2023,July,Colne,11:45,05:20,06:25,flood,RobF,51.83785,0.98184,RXQJ+4PW,1,0,0,,NC,526,NC,390,NA,NA,NA,membrane filtration,,
AA07,Alresford creek,Co_2,25/07/2023,July,Colne,11:45,05:20,06:25,flood,RobF,51.83785,0.98184,RXQJ+4PW,1,0,0,,NC,736,NC,336,NA,NA,NA,membrane filtration,,
AB11,Alresford creek,Co_2,11/10/2023,October,Colne,11:08,11:00,00:08,,RobF,51.83785,0.98184,RXQJ+4PW,1,0,0,,28,80,108,82,NA,NA,NA,membrane filtration,,
AB12,Alresford creek,Co_2,11/10/2023,October,Colne,14:35,11:00,,,RobF,51.83785,0.98184,RXQJ+4PW,1,0,0,,120,16,136,32,NA,NA,NA,membrane filtration,,
AB43,Alresford creek,Co_2,08/12/2023,December,Colne,08:20,08:01,,,Nick,51.8449,0.980305,RXVJ+X43,1,0,0,Near Co_2 - just to Wivenhoe side o Alresford creek acording to coordinates,2140,1240,3380,1420,130,230,230,membrane filtration,,
AB44,Alresford Creek,Co_2,08/12/2023,December,Colne,8.25,08:01,,,Nick,51.839314,0.982185,RXQJ+PVF,1,0,0,After heavy rain,NC,1860,NC,1540,270,580,580,membrane filtration,,
AB95,Alresford Creek,Co_2,01/03/2024,March,Colne,15.3,16.44,,Neap,Nick,51.83785,0.98184,RXQJ+4PW,1,0,,,480,40,520,30,NA,NA,NA,membrane filtration,,
AC24,Alresford creek,Co_2,27/04/2024,April,Colne,14.25,15:10,-0.45,Flood,Nick,51.83785,0.98184,,,,0,Cloudy light winds,90,0,90,0,NA,NA,NA,membrane filtration,,
AB96,Between Alresford creek and buoy 17,Co_3,01/03/2024,March,Colne,15.45,16.44,,Neap,Nick,51.82645,0.98145,RXGJ+HHG,1,0,,,1560,100,1660,40,NA,NA,NA,membrane filtration,,
AC25,Place holder for site between B17 and Alresford creek,Co_3,27/04/2024,April,Colne,14.35,15:10,-0.35,slack,Nick,51.82645,0.98145,,,,0,Cloudy light winds,30,0,30,10,NA,NA,NA,membrane filtration,,
AA08,buoy 17,Co_4,25/07/2023,July,Colne,11:30,05:20,06:10,flood,RobF,51.81337,0.98883,RX7Q+8GW,1,0,0,,70,86,156,22,NA,NA,NA,membrane filtration,,
AA09,buoy 17,Co_4,25/07/2023,July,Colne,11:30,05:20,06:10,flood,RobF,51.81337,0.98883,RX7Q+8GW,1,0,0,,128,46,174,11,NA,NA,NA,membrane filtration,,
AA10,buoy 17,Co_4,25/07/2023,July,Colne,11:30,05:20,06:10,flood,RobF,51.81337,0.98883,RX7Q+8GW,1,0,0,,88,54,142,8,NA,NA,NA,membrane filtration,,
AB97,Bouy 17,Co_4,01/03/2024,March,Colne,16.3,16.44,,Neap,Nick,51.81337,0.98883,RX7Q+8GW,1,0,,,NC,190,NC,180,NA,NA,NA,membrane filtration,,
AA11,Brightlingsea harbour entrance,Co_5,25/07/2023,July,Colne,11:00,05:20,05:40,flood,RobF,51.80217,1.00799,R225+V59,1,0,0,,42,12,54,4,NA,NA,NA,membrane filtration,,
AA12,Brightlingsea harbour entrance,Co_5,25/07/2023,July,Colne,11:00,05:20,05:40,flood,RobF,51.80217,1.00799,R225+V59,1,0,0,,44,26,70,0,NA,NA,NA,membrane filtration,,
AA13,Brightlingsea harbour entrance,Co_5,25/07/2023,July,Colne,11:00,05:20,05:40,flood,RobF,51.80217,1.00799,R225+V59,1,0,0,,42,4,46,8,NA,NA,NA,membrane filtration,,
AB15,Brightlingsea harbour entrance,Co_5,11/10/2023,October,Colne,15:24,11:00,,,RobF,51.80217,1.00799,R225+V59,1,1,0,,14,8,22,7,NA,NA,NA,membrane filtration,,
AA14,Point Clear,Co_6,25/07/2023,July,Colne,10:30,05:20,05:10,slack,RobF,51.78945,1.01551,Q2Q8+Q6C,1,0,0,,60,26,86,6,NA,NA,NA,membrane filtration,,
AA15,Point Clear,Co_6,25/07/2023,July,Colne,10:30,05:20,05:10,slack,RobF,51.78945,1.01551,Q2Q8+Q6C,1,0,0,,26,10,36,1,NA,NA,NA,membrane filtration,,
AA16,Point Clear,Co_6,25/07/2023,July,Colne,10:30,05:20,05:10,slack,RobF,51.78945,1.01551,Q2Q8+Q6C,1,0,0,,14,10,24,2,NA,NA,NA,membrane filtration,,
AB16,Point Clear,Co_6,11/10/2023,October,Colne,15:26,11:00,,,RobF,51.78945,1.01551,Q2Q8+Q6C,1,0,0,,32,12,44,10,NA,NA,NA,membrane filtration,,
AB17,Point Clear,Co_6,11/10/2023,October,Colne,12:11,11:00,01:11,,RobF,51.78945,1.01551,Q2Q8+Q6C,1,0,0,,2,0,2,4,NA,NA,NA,membrane filtration,,
AA35,WSL,Co_7,10/08/2023,August,Colne,20:27,19:59,00:28,slack,Megan,51.8521142,0.9635436,VX27+RCV,1,0,2,,40,0,40,0,NA,NA,NA,membrane filtration,,
AA36,WSL,Co_7,10/08/2023,August,Colne,20:27,19:59,00:28,slack,Megan,51.8521142,0.9635436,VX27+RCV,1,0,2,,160,0,160,0,NA,NA,NA,membrane filtration,,
AA37,WSL,Co_7,10/08/2023,August,Colne,20:27,19:59,00:28,slack,Megan,51.8521142,0.9635436,VX27+RCV,1,0,2,,40,0,40,0,NA,NA,NA,membrane filtration,,
AA38,Public Pontoon,Co_8,10/08/2023,August,Colne,20:30,19:59,00:31,slack,Megan,51.8527612,0.9620201,VX36+4R2,1,0,2,,160,0,160,0,NA,NA,NA,membrane filtration,,
AA39,Public Pontoon,Co_8,10/08/2023,August,Colne,20:30,19:59,00:31,slack,Megan,51.8527612,0.9620201,VX36+4R2,1,0,2,,240,0,240,0,NA,NA,NA,membrane filtration,,
AA40,Public Pontoon,Co_8,10/08/2023,August,Colne,20:30,19:59,00:31,slack,Megan,51.8527612,0.9620201,VX36+4R2,1,0,2,,120,0,120,0,NA,NA,NA,membrane filtration,,
AA79,Public Pontoon,Co_8,10/09/2023,September,Colne,10:49,09:39,,,Megan,51.8523834,0.9625056,VX27+X22,1,0,,,624,0,624,320,NA,NA,NA,membrane filtration,,
AC77,Public Pontoon,Co_8,01/07/2024,July,Colne,21,20.54,0.06,Mid,Nick,51.8527612,0.9620201,VX36+4R2,1,0,,,,,,,,,,,,
AA44,Footferry Pontoon,Co_9,10/08/2023,August,Colne,20:42,19:59,00:43,slack,Megan,51.8543535,0.9584432,VX35+P9W,1,0,2,,160,40,200,0,NA,NA,NA,membrane filtration,,
AA45,Footferry Pontoon,Co_9,10/08/2023,August,Colne,20:42,19:59,00:43,slack,Megan,51.8543535,0.9584432,VX35+P9W,1,0,2,,80,0,80,0,NA,NA,NA,membrane filtration,,
AA46,Footferry Pontoon,Co_9,10/08/2023,August,Colne,20:42,19:59,00:43,slack,Megan,51.8543535,0.9584432,VX35+P9W,1,0,2,,200,0,200,0,NA,NA,NA,membrane filtration,,
AA81,Footferry Pontoon,Co_9,10/09/2023,September,Colne,10:37,09:39,,,Megan,51.8543585,0.958437,VX35+P9V,1,0,,,320,0,320,0,NA,NA,NA,membrane filtration,,
AB41,Footferry Pontoon,Co_9,08/12/2023,December,Colne,08:00,08:01,,,Nick,51.854285,0.954066,VX33+PJ8,1,0,0,After heavy rain,NC,NC,NC,NC,NC,2180,2180,membrane filtration,,
AA17,Hythe Bridge,Hy_1,28/07/2023,July,Colne,09:30,08:10,01:20,ebb,RobF,51.880279,0.92788,VWJH+456,1,0,0,,NC,6691,NC,2624,NA,NA,NA,membrane filtration,,
AA18,Hythe Bridge,Hy_1,28/07/2023,July,Colne,09:30,08:10,01:20,ebb,RobF,51.880279,0.92788,VWJH+456,1,0,0,,NC,7552,NC,2456,NA,NA,NA,membrane filtration,,
AA19,Hythe Bridge,Hy_1,28/07/2023,July,Colne,09:30,08:10,01:20,ebb,RobF,51.880279,0.92788,VWJH+456,1,0,0,,NC,NC,NC,3120,NA,NA,NA,membrane filtration,,
AC76,Hythe Bridge,Hy_1,01/07/2024,July,Colne,20.25,20.54,-0.2,Mid,Nick,51.880279,0.92788,VWJH+456,1,0,,,,,,,,,,,,
AA41,Hythe,Hy_2,10/08/2023,August,Colne,19:48,19:59,11:59,slack,Megan,51.8776663,0.9333201,VWHM+388,1,0,2,,4800,400,5200,400,NA,NA,NA,membrane filtration,,
AA42,Hythe,Hy_2,10/08/2023,August,Colne,19:48,19:59,11:59,slack,Megan,51.8776663,0.9333201,VWHM+388,1,0,2,,5200,800,6000,400,NA,NA,NA,membrane filtration,,
AA43,Hythe,Hy_2,10/08/2023,August,Colne,19:48,19:59,11:59,slack,Megan,51.8776663,0.9333201,VWHM+388,1,0,2,,9600,1200,10800,0,NA,NA,NA,membrane filtration,,
AA80,Hythe,Hy_2,10/09/2023,September,Colne,10:05,09:39,,,Megan,51.8695759,0.94168,VW9R+RMM,1,0,,,560,64,624,48,NA,NA,NA,membrane filtration,,
AC75,Hythe,Hy_2,01/07/2024,July,Colne,20.15,20.54,-0.39,Mid,Nick,51.8776663,0.9333201,VWHM+388,1,0,,,,,,,,,,,,
